platform,title,developer,score,num_of_reviews
PS4,Shadows: Awakening,Kalypso/H2 Interactive Co.,71.82,11
PS4,Onimusha: Warlords,NeoBards Entertainment/Capcom,71.82,11
NS,Lichtspeer: Double Speer Edition,Lichthund/Crunching Koalas,71.67,15
PS4,Sundered,Thunder Lotus Games/Limited Run Games,71.50,15
PS4,ToeJam & Earl: Back in the Groove,Humanature Studios/Limited Run Games,71.36,11
PS4,God Eater 3,Bandai Namco Games,71.00,27
PS4,A Fisherman's Tale,Innerspace VR/Vertigo Games,71.00,5
X360,Castlevania: Harmony of Despair,Konami,70.96,45
XONE,Onimusha: Warlords,NeoBards Entertainment/Capcom,70.83,6
NS,Aragami: Shadow Edition,Lince Works/Merge Games,70.83,6
PS4,The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,Skybound Games/Telltale Games,70.83,6
X360,Crackdown 2,Ruffian Games/Microsoft Game Studios,70.68,70
PC,Pikuniku,Sectordub/Devolver Digital,70.50,8
PC,ASTRONEER,System Era Softworks,70.00,6
NS,RICO,Ground Shatter Ltd./Rising Star Games,70.00,6
X360,Resident Evil Code: Veronica X HD,Capcom,69.89,27
IOS,Alien: Blackout,D3 Go!/FoxNext Games,69.67,6
PS4,Assassin's Creed III Remastered,Ubisoft,69.60,5
NS,Q.U.B.E. 2,Toxic Games/Super Rare Games,69.57,7
PS4,Farming Simulator 19,Giants Software/Oizumi Amuzio,69.38,8
NS,Thea: The Awakening,MuHa Games,69.29,7
NS,The Liar Princess and the Blind Prince,Nippon Ichi Software/NIS America,69.00,5
NS,Sphinx and the Cursed Mummy,Eurocom/THQ Nordic,69.00,5
PS4,RIDE 3,Milestone S.r.l/Oizumi Amuzio,69.00,12
PC,Mage's Initiation: Reign of the Elements,Himalaya Studios,68.67,6
PS4,Farpoint,Impulse Gear/Sony Interactive Entertainment,68.64,28
NS,Windscape,Magic Sandbox/Headup Games,68.60,5
NS,Atari Flashback Classics,AtGames/Atari,68.57,7
PS4,PlayerUnknown's Battlegrounds,PUBG Corporation,68.55,11
NS,Double Cross,13AM Games/Graffiti Games,68.54,13
PC,Truberbrook: A Nerd Saves the World,btf/Headup Games,68.40,5
X360,Rayman Raving Rabbids,Ubisoft Montpellier/Ubisoft,68.15,17
NS,Dragon Marked For Death,Inti Creates,68.12,8
PS4,Smoke and Sacrifice,Solar Sail Games/Curve Digital,68.12,8
PC,The Eternal Castle Remastered,Leonard Menchiari/Playsaurus,68.12,8
PC,8-Bit Armies,Petroglyph/Soedesco,68.00,5
X360,Lost Planet 2,Capcom,67.95,38
PC,Tech Support: Error Unknown,Dragon Slumber,67.80,5
NS,Battle Princess Madelyn,Causal Bit Games,67.60,10
PS4,Senran Kagura Burst Re:Newal,Honey Parade Games/Marvelous Inc.,67.50,12
NS,LEGRAND LEGACY: Tale of the Fatebounds,Another Indie,67.50,6
PS4,GRIP: Combat Racing,Caged Element Inc./Wired Productions,66.93,15
PC,Jon Shafer's At the Gates,Conifer Games,66.83,12
NS,Travis Strikes Again: No More Heroes,Grasshopper Manufacture/Marvelous Inc.,66.77,37
PS4,The Wizards: Enhanced Edition,Carbon Studio,66.60,5
PC,The Occupation,White Paper Games/Humble,66.50,6
NS,Mages of Mystralia,Borealys Games,66.43,7
XONE,The Technomancer,Spiders/Focus Home Interactive,66.30,10
PS4,Utawarerumono: Mask of Deception,Aqua Plus,66.27,15
PS4,Driveclub VR,Evolution Studios/Sony Interactive Entertainment,66.22,18
NS,Townsmen,HandyGames/Worker Bee,66.00,5
PS4,ChromaGun VR,Pixel Maniacs,65.83,6
NS,Fairy Fencer F: Advent Dark Force,Compile Heart/Idea Factory,65.71,7
PS4,The Hong Kong Massacre,VRESKI,65.57,7
NS,The Escapists: Complete Edition,Mouldy Toof Studios/Limited Run Games,65.29,7
PS4,The Occupation,White Paper Games/Humble Bundle,65.13,12
PS4,Light Tracer,Oasis Games/Limited Run Games,65.00,5
PS4,Nelke & the Legendary Alchemists: Ateliers of the New World,Gust/Koei Tecmo Games,65.00,6
XONE,Anthem,BioWare/Electronic Arts,65.00,12
PC,The Settlers: Rise of an Empire,Blue Byte/Ubisoft,64.89,18
PS4,Call of Cthulhu,Cyanide,64.52,32
XONE,Genesis Alpha One,Radiation Blue/Team 17,64.17,6
NS,GRIP: Combat Racing,Caged Element Inc./Wired Productions,64.17,6
PS4,Smash Hit Plunder,Triangular Pixels/Perpetual,64.00,5
NS,Elli,Bandana Kid,64.00,5
NS,RemiLore: Lost Girl in the Lands of Lore,Pixellore/Nicalis,63.55,11
X360,Fuel,Asobo Studio/Codemasters,63.47,32
PS4,Battle Princess Madelyn,Causal Bit Games,63.43,7
NS,Raging Justice,MakinGames/Team 17,63.33,6
PC,Shot Online,OnNet/Webzen,62.87,8
PS4,SportsBarVR,Cherry Pop Games,62.73,11
XONE,Crackdown 3,Sumo Digital/Microsoft Game Studios,62.60,39
PS4,Seasons After Fall,Swing Swing Submarine/Oasis Games,62.50,6
NS,YIIK: A Postmodern RPG,Ackkstudios,62.50,8
X360,Hydrophobia,Dark Energy Digital/Microsoft Game Studios,61.89,46
NS,Sleep Tight,We Are Fuzzy,61.83,6
PS4,8-Bit Hordes,Petroglyph,61.37,8
XONE,MX vs. ATV All Out: Anniversary Edition,THQ Nordic,61.00,5
PS4,The Caligula Effect: Overdose,Aquria/NIS America,60.83,6
PS4,Trailblazers,Supergonk Ltd./Rising Star Games,60.25,8
NS,The Caligula Effect: Overdose,Aquria/NIS America,60.00,6
PS4,Anthem,BioWare/Electronic Arts,60.00,16
XONE,Jump Force,Spike Chunsoft/Bandai Namco Games,60.00,7
PC,Crackdown 3,Sumo Digital/Microsoft Game Studios,60.00,6
X360,Marathon: Durandal,Freeverse/Microsoft Game Studios,59.54,13
NS,The Princess Guide,Nippon Ichi Software/NIS America,59.17,6
X360,Lost Planet 3,Spark Unlimited/Capcom,58.93,30
PS4,Another World: 20th Anniversary Edition,The Digital Lounge/Limited Run Games,58.00,7
PC,Anthem,BioWare/Electronic Arts,57.97,32
PS4,One Piece: World Seeker,Ganbarion/Bandai Namco Games,57.20,15
PC,War Rock,Dream Execution/Papaya Play,57.14,14
PS4,The LEGO Movie 2 Videogame,TT Games/Warner Bros. Interactive Entertainment,53.78,9
PS4,Jump Force,Spike Chunsoft/Bandai Namco Games,53.36,28
PS4,Vane,Friend & Foe,52.86,25
X360,Port Royale 3: Pirates and Merchants,Kalypso,51.00,5
PS4,Generation Zero,Avalanche Studios/THQ Nordic,47.70,5
PS4,The Deer God,Cinopt Studios LLC/Red Art Games,46.00,5
PC,Generation Zero,Avalanche Studios/THQ Nordic,44.57,7
PS4,Eternity: The Last Unicorn,Void Studios/1C Company,41.00,5
PS4,Bravo Team,SuperMassive Games/Sony Interactive Entertainment,37.64,14
PS4,Left Alive,ilinx inc./Square Enix,36.47,17
NS,Ancient Rush 2,Heideland GameWorks,23.20,5
